query,keyword_search_time,keyword_search_results,vector_search_time,vector_search_results,hybrid_search_time,hybrid_search_results,context_length,num_sources,has_high_confidence,context_retrieval_time,context_generation_time,response_generation_time,total_response_time,response_length
What is the punishment for murder under Indian Penal Code?,0.0015653610229492188,5,3.337860107421875e-06,0,0.0011137962341308595,5,2494,3,False,4.7206878662109375e-05,4.744529724121094e-05,4.883838891983032,4.883888244628906,2422
What are my fundamental rights according to the Indian Constitution?,0.0019475460052490235,5,2.5272369384765624e-06,0,0.0012595653533935547,5,1641,3,False,4.2438507080078125e-05,2.5510787963867188e-05,6.434223413467407,6.434250593185425,4760
Explain Article 21 of the Indian Constitution,0.0020318031311035156,5,2.6702880859375e-06,0,0.0018066883087158204,5,3654,3,False,4.982948303222656e-05,3.2901763916015625e-05,5.505610704421997,5.505644083023071,4086
What constitutes defamation under the Indian Penal Code?,0.0007128715515136719,5,2.002716064453125e-06,0,0.0011862754821777345,5,1309,3,False,3.6716461181640625e-05,2.2649765014648438e-05,4.541364669799805,4.5413877964019775,103
What is the process for filing an FIR under CrPC?,0.05573749542236328,5,3.24249267578125e-06,0,0.001395845413208008,5,334,3,False,3.886222839355469e-05,2.765655517578125e-05,5.506957054138184,5.506986379623413,3942
What are the provisions regarding bail in the Criminal Procedure Code?,0.0013450145721435546,5,2.8133392333984377e-06,0,0.0012277126312255859,5,7137,3,False,6.413459777832031e-05,4.1961669921875e-05,6.438311576843262,6.438354253768921,4550
Explain the concept of criminal conspiracy under IPC,0.00139312744140625,5,2.4318695068359373e-06,0,0.001318073272705078,5,2722,3,False,8.296966552734375e-05,7.390975952148438e-05,5.391571044921875,5.391646146774292,3555
What is the law regarding hate speech in India?,0.0018260478973388672,5,2.574920654296875e-06,0,0.0015291213989257813,5,4776,3,False,5.698204040527344e-05,3.170967102050781e-05,5.124391794204712,5.124424457550049,3848
What constitutes sedition under Indian law?,0.0008747100830078125,5,3.0994415283203125e-06,0,0.0007667064666748047,5,1341,3,False,5.817413330078125e-05,6.031990051269531e-05,3.9041264057159424,3.9041876792907715,2604
What are the rights of an arrested person in India?,0.0018156051635742187,5,2.6226043701171875e-06,0,0.0015519142150878906,5,11679,3,False,8.082389831542969e-05,4.0531158447265625e-05,2.6157333850860596,2.615774631500244,1782
What is the difference between civil and criminal cases in India?,0.0016985893249511718,5,1.7642974853515626e-06,0,0.0011446952819824218,5,6019,3,False,5.340576171875e-05,3.075599670410156e-05,5.3143510818481445,5.314382791519165,4171
What is the punishment for rape under Indian Penal Code?,0.0014594078063964843,5,2.288818359375e-06,0,0.0012215137481689452,5,2084,3,False,4.696846008300781e-05,3.1948089599609375e-05,3.9788599014282227,3.9788925647735596,2826
What does the Indian Constitution say about right to equality?,0.0012011528015136719,5,2.2411346435546876e-06,0,0.0016905784606933594,5,7861,3,False,5.817413330078125e-05,4.172325134277344e-05,5.820563077926636,5.820605754852295,4495
What is habeas corpus according to Indian law?,0.0011597156524658203,5,2.193450927734375e-06,0,0.0012537479400634766,5,2273,3,False,4.982948303222656e-05,2.9325485229492188e-05,4.290022850036621,4.290053367614746,2805
What is the punishment for cybercrime in India?,0.0012794017791748046,5,1.9073486328125e-06,0,0.0011598587036132813,5,314,3,False,2.8133392333984375e-05,2.1219253540039062e-05,5.8478615283966064,5.847883462905884,3698
What does the IPC say about causing death by negligence?,0.0008317947387695313,5,1.52587890625e-06,0,0.0006689548492431641,5,3343,3,False,5.173683166503906e-05,2.8133392333984375e-05,4.428249835968018,4.428278684616089,2973
What is dowry prohibition law in India?,0.0010149002075195313,5,2.002716064453125e-06,0,0.0008023738861083985,5,286,3,False,2.86102294921875e-05,1.9073486328125e-05,5.562150478363037,5.562170028686523,3201
How is domestic violence defined under Indian law?,0.0008046150207519532,5,2.0503997802734374e-06,0,0.0006068706512451172,5,300,3,False,2.7418136596679688e-05,2.1219253540039062e-05,5.316272258758545,5.316293954849243,3825
What is the punishment for cheating under IPC?,0.0012482643127441407,5,1.9073486328125e-06,0,0.0010974884033203125,5,1523,3,False,5.030632019042969e-05,3.0279159545898438e-05,2.7508902549743652,2.7509212493896484,1472
What is anticipatory bail under Indian law?,0.0009624958038330078,5,2.5272369384765624e-06,0,0.0009176254272460938,5,4116,3,False,5.412101745605469e-05,3.5762786865234375e-05,4.710385084152222,4.710421562194824,3426
